pair,predicted,actual,error
SHIB_USDT,"[1.2941018212586641e-05, 1.2938689906150103e-05, 1.2935290214954875e-05, 1.2931445780850481e-05, 1.2927548596053384e-05]","[1.294e-05, 1.292e-05, 1.293e-05, 1.295e-05, 1.295e-05]",1.3200791357550719e-08
DOGE_USDT,"[0.19081082940101624, 0.1908486783504486, 0.19086727499961853, 0.19087542593479156, 0.19087976217269897]","[0.19069, 0.19043, 0.19045, 0.19086, 0.19086]",0.00019839417171478303
TRX_USDT,"[0.293656587600708, 0.2936747074127197, 0.2936857044696808, 0.29368865489959717, 0.29368555545806885]","[0.2935, 0.2934, 0.2933, 0.2938, 0.2938]",0.00020855782508850674
ADA_USDT,"[0.6926258206367493, 0.6925875544548035, 0.6924312114715576, 0.692244827747345, 0.6920579075813293]","[0.6935, 0.6929, 0.6922, 0.6922, 0.6936]",0.0006009513092040785
ARB_USDT,"[0.3911798894405365, 0.39119869470596313, 0.3912299573421478, 0.3912677764892578, 0.39131036400794983]","[0.392, 0.391, 0.3905, 0.3904, 0.3918]",0.000621235017776478
OP_USDT,"[0.6941660046577454, 0.6942207217216492, 0.6942801475524902, 0.6943441033363342, 0.6944121718406677]","[0.695, 0.693, 0.693, 0.695, 0.694]",0.0008805866241455185
XRP_USDT,"[2.2760772705078125, 2.276109218597412, 2.2760374546051025, 2.2759175300598145, 2.27578067779541]","[2.2752, 2.2736, 2.2739, 2.2758, 2.2764]",0.0012521591949464117
RUNE_USDT,"[1.7091577053070068, 1.709058403968811, 1.7089117765426636, 1.708756685256958, 1.7086095809936523]","[1.711, 1.708, 1.708, 1.71, 1.71]",0.0012892417907715004
ATOM_USDT,"[4.483333110809326, 4.483489036560059, 4.4835381507873535, 4.483521461486816, 4.4834699630737305]","[4.487, 4.485, 4.481, 4.481, 4.486]",0.0025535003662110257
DOT_USDT,"[4.210115909576416, 4.21064567565918, 4.2109270095825195, 4.211068630218506, 4.211161136627197]","[4.211, 4.21, 4.209, 4.204, 4.214]",0.002672853851318635
SUI_USDT,"[3.427211284637451, 3.4277079105377197, 3.42775559425354, 3.427541494369507, 3.427197217941284]","[3.4256, 3.4213, 3.4215, 3.4286, 3.4286]",0.0033472154235838934
LINK_USDT,"[14.985433578491211, 14.986623764038086, 14.987756729125977, 14.988930702209473, 14.990141868591309]","[15.01, 14.98, 14.96, 14.99, 14.99]",0.012031616210937202
AVAX_USDT,"[21.788740158081055, 21.795698165893555, 21.800579071044922, 21.80460548400879, 21.808149337768555]","[21.82, 21.78, 21.76, 21.75, 21.81]",0.02879864501953051
LTC_USDT,"[90.8090591430664, 90.81111145019531, 90.8130874633789, 90.8155517578125, 90.8186264038086]","[90.93, 90.86, 90.76, 90.75, 90.86]",0.06596844482421886
SOL_USDT,"[157.31849670410156, 157.3021240234375, 157.27137756347656, 157.23553466796875, 157.2012176513672]","[157.19, 157.13, 157.25, 157.39, 157.4]",0.13504919433593726
BNB_USDT,"[659.4015502929688, 659.4169311523438, 659.3428955078125, 659.2517700195312, 659.161865234375]","[659.47, 659.38, 659.01, 659.11, 659.7]",0.22363623046876455
ETH_USDT,"[2738.37841796875, 2738.877197265625, 2739.250732421875, 2739.519287109375, 2739.710205078125]","[2737.01, 2735.56, 2735.19, 2739.0, 2739.08]",1.9791679687499708
BTC_USDT,"[108650.015625, 108641.2265625, 108627.4296875, 108611.0, 108594.0]","[108655.71, 108609.68, 108591.01, 108728.48, 108728.47]",65.12212500000314
